root,bytes,file_count,npz_count,npy_count,json_count,csv_count,tracked_reference_mentions,category,exact_duplicate_candidate_bytes,deletion_state
phaseB_cwru_within_load0_llm_smoke_api_v3_healthy_compact,764484,57,1,42,11,2,1,DEVELOPMENT_SMOKE_OR_PILOT,0,REVIEW_NOT_AUTOMATIC
pu_loco_v4_hybrid_2026-07-13_capacity,759595,10,1,6,2,1,0,DEVELOPMENT_UNCLASSIFIED,0,REVIEW_NOT_AUTOMATIC
phaseB_cwru_within_load0_rule_smoke_v2,708518,73,1,37,33,2,0,DEVELOPMENT_SMOKE_OR_PILOT,0,REVIEW_NOT_AUTOMATIC
recipe_ablation_rule_v2_smoke,651581,39,1,20,16,2,0,DEVELOPMENT_SMOKE_OR_PILOT,533741,EXACT_DUPLICATE_FILES_ONLY_PENDING_AUTHORIZATION
pu_loco_v6_cscoh_2026-07-14,537353,4,4,0,0,0,1,REFERENCED_LEGACY_EVIDENCE,0,REVIEW_NOT_AUTOMATIC
rescreen_v2_smoke,509382,11,1,0,8,2,0,DEVELOPMENT_SMOKE_OR_PILOT,0,REVIEW_NOT_AUTOMATIC
pu_loco_v5_s4_extrapolation_verifier_2026-07-13,474863,8,0,0,8,0,1,REFERENCED_LEGACY_EVIDENCE,0,REVIEW_NOT_AUTOMATIC
recipe_ablation_random_v2_smoke,417346,34,1,15,16,2,0,DEVELOPMENT_SMOKE_OR_PILOT,416169,EXACT_DUPLICATE_FILES_ONLY_PENDING_AUTHORIZATION
pu_loco_v3_internal_candidates_2026-07-08,382496,16,1,5,8,2,1,REFERENCED_LEGACY_EVIDENCE,0,REVIEW_NOT_AUTOMATIC
cross_condition_verifier_smoke,327312,13,0,0,8,4,0,DEVELOPMENT_SMOKE_OR_PILOT,301900,EXACT_DUPLICATE_FILES_ONLY_PENDING_AUTHORIZATION
pu_loco_v2_condition_aware_2026-07-08_smoke,266737,5,0,1,4,0,0,DEVELOPMENT_SMOKE_OR_PILOT,251653,EXACT_DUPLICATE_FILES_ONLY_PENDING_AUTHORIZATION
pu_loco_v4_hybrid_2026-07-13_smoke,181055,6,1,2,2,1,0,DEVELOPMENT_SMOKE_OR_PILOT,124977,EXACT_DUPLICATE_FILES_ONLY_PENDING_AUTHORIZATION
mt_verifier_c90.json,145471,1,0,0,1,0,2,REFERENCED_LEGACY_EVIDENCE,0,REVIEW_NOT_AUTOMATIC
mt_verifier_smoke_c90.json,145463,1,0,0,1,0,0,DEVELOPMENT_SMOKE_OR_PILOT,0,REVIEW_NOT_AUTOMATIC
phaseB_cwru_within_load0_rule_smoke,115511,34,0,0,33,1,0,DEVELOPMENT_SMOKE_OR_PILOT,0,REVIEW_NOT_AUTOMATIC
