baseline,model,n_real,seed,epochs,fold,heldout_file_id,n_train,n_val,acc,macro_f1,f1_normal_machining,f1_lead_screw_anomaly,f1_base_imbalance,confusion
real_only,simple_cnn,25,7,20,file_id_2,2,75,445,0.5213483146067416,0.4364716223331048,0.17674418604651163,0.42391304347826086,0.7087576374745418,"[[19,54,102],[16,39,4],[5,32,174]]"
real_only,simple_cnn,25,8,20,file_id_2,2,75,445,0.42696629213483145,0.3659562913740011,0.14507772020725387,0.373015873015873,0.5797752808988764,"[[14,68,93],[0,47,12],[4,78,129]]"
real_only,simple_cnn,25,9,20,file_id_2,2,75,445,0.5258426966292135,0.467814976548601,0.23148148148148148,0.49074074074074076,0.6812227074235808,"[[25,64,86],[1,53,5],[15,40,156]]"
real_only,simple_cnn,50,0,20,file_id_2,2,150,445,0.6494382022471911,0.5918143832314574,0.5289855072463768,0.41935483870967744,0.8271028037383178,"[[73,64,38],[18,39,2],[10,24,177]]"
real_only,simple_cnn,50,1,20,file_id_2,2,150,445,0.7640449438202247,0.6956172795453271,0.7190332326283988,0.4881889763779528,0.8796296296296297,"[[119,25,31],[28,31,0],[9,12,190]]"
real_only,simple_cnn,50,2,20,file_id_2,2,150,445,0.6584269662921348,0.6166667281472851,0.5694915254237288,0.5211267605633803,0.7593818984547461,"[[84,22,69],[21,37,1],[15,24,172]]"
real_only,simple_cnn,50,3,20,file_id_2,2,150,445,0.604494382022472,0.5570852602135402,0.4157706093189964,0.5033112582781457,0.7521739130434782,"[[58,43,74],[19,38,2],[27,11,173]]"
real_only,simple_cnn,50,4,20,file_id_2,2,150,445,0.5235955056179775,0.4555245656768499,0.3956043956043956,0.2233502538071066,0.7476190476190476,"[[54,71,50],[35,22,2],[9,45,157]]"
real_only,simple_cnn,50,5,20,file_id_2,2,150,445,0.7280898876404495,0.6878544896704389,0.6176470588235294,0.624113475177305,0.8218029350104822,"[[84,26,65],[10,44,5],[3,12,196]]"
real_only,simple_cnn,50,6,20,file_id_2,2,150,445,0.698876404494382,0.70188151382773,0.5665529010238908,0.7787610619469026,0.7603305785123967,"[[83,5,87],[13,44,2],[22,5,184]]"
real_only,simple_cnn,50,7,20,file_id_2,2,150,445,0.6786516853932584,0.6093309110808366,0.5768025078369906,0.45544554455445546,0.7957446808510639,"[[92,12,71],[35,23,1],[17,7,187]]"
real_only,simple_cnn,50,8,20,file_id_2,2,150,445,0.7370786516853932,0.7122432000796195,0.6518518518518519,0.6797385620915033,0.8051391862955032,"[[88,25,62],[1,52,6],[6,17,188]]"
real_only,simple_cnn,50,9,20,file_id_2,2,150,445,0.6404494382022472,0.5776471440263143,0.578397212543554,0.36470588235294116,0.789838337182448,"[[83,55,37],[14,31,14],[15,25,171]]"
real_only,simple_cnn,full,0,20,file_id_4,4,1436,301,0.8970099667774086,0.8732354619691666,0.8871595330739299,0.7457627118644068,0.986784140969163,"[[114,1,0],[27,44,0],[1,2,112]]"
real_only,simple_cnn,10,0,20,file_id_4,4,30,301,0.3554817275747508,0.32272390928006706,0.10687022900763359,0.4014084507042254,0.45989304812834225,"[[7,85,23],[8,57,6],[1,71,43]]"
real_only,simple_cnn,10,1,20,file_id_4,4,30,301,0.2425249169435216,0.15246921600046193,0.0,0.37988826815642457,0.07751937984496124,"[[0,109,6],[0,68,3],[0,110,5]]"
real_only,simple_cnn,10,2,20,file_id_4,4,30,301,0.23920265780730898,0.1618964096840203,0.0,0.3775811209439528,0.10810810810810811,"[[0,97,18],[0,64,7],[0,107,8]]"
real_only,simple_cnn,10,3,20,file_id_4,4,30,301,0.29900332225913623,0.23521706586826344,0.0,0.40625,0.2994011976047904,"[[0,94,21],[0,65,6],[0,90,25]]"
real_only,simple_cnn,10,4,20,file_id_4,4,30,301,0.26245847176079734,0.18586523946754493,0.0,0.3861671469740634,0.17142857142857143,"[[0,106,9],[0,67,4],[0,103,12]]"
real_only,simple_cnn,10,5,20,file_id_4,4,30,301,0.24584717607973422,0.1583064307764483,0.06504065040650407,0.3756906077348066,0.03418803418803419,"[[4,111,0],[3,68,0],[1,112,2]]"
real_only,simple_cnn,10,6,20,file_id_4,4,30,301,0.24584717607973422,0.16808496336627007,0.0,0.38011695906432746,0.12413793103448276,"[[0,100,15],[0,65,6],[0,106,9]]"
real_only,simple_cnn,10,7,20,file_id_4,4,30,301,0.2956810631229236,0.23230321736590076,0.0,0.3987730061349693,0.2981366459627329,"[[0,99,16],[0,65,6],[0,91,24]]"
real_only,simple_cnn,10,8,20,file_id_4,4,30,301,0.27906976744186046,0.22281496638409823,0.0,0.3729903536977492,0.29545454545454547,"[[0,93,22],[0,58,13],[0,89,26]]"
real_only,simple_cnn,10,9,20,file_id_4,4,30,301,0.292358803986711,0.23402593406033378,0.03418803418803419,0.39628482972136225,0.2716049382716049,"[[2,95,18],[0,64,7],[0,93,22]]"
real_only,simple_cnn,25,0,20,file_id_4,4,75,301,0.38870431893687707,0.3640404196517701,0.22900763358778625,0.4404332129963899,0.422680412371134,"[[15,71,29],[1,61,9],[0,74,41]]"
real_only,simple_cnn,25,1,20,file_id_4,4,75,301,0.47840531561461797,0.43818863397810776,0.2,0.5101214574898786,0.6044444444444445,"[[13,68,34],[0,63,8],[2,45,68]]"
real_only,simple_cnn,25,2,20,file_id_4,4,75,301,0.3687707641196013,0.3476587824787531,0.2647058823529412,0.42244224422442245,0.3558282208588957,"[[18,85,12],[0,64,7],[3,83,29]]"
real_only,simple_cnn,25,3,20,file_id_4,4,75,301,0.4584717607973422,0.4376446503150344,0.5278810408921933,0.3194444444444444,0.4656084656084656,"[[71,22,22],[40,23,8],[43,28,44]]"
real_only,simple_cnn,25,4,20,file_id_4,4,75,301,0.34219269102990035,0.29407985827695243,0.524822695035461,0.1956521739130435,0.16176470588235295,"[[74,34,7],[50,18,3],[43,61,11]]"
real_only,simple_cnn,25,5,20,file_id_4,4,75,301,0.27906976744186046,0.21407435596369087,0.11382113821138211,0.3930635838150289,0.13533834586466165,"[[7,102,6],[0,68,3],[1,105,9]]"
real_only,simple_cnn,25,6,20,file_id_4,4,75,301,0.4219269102990033,0.3962785157037816,0.2318840579710145,0.4721030042918455,0.48484848484848486,"[[16,52,47],[3,55,13],[4,55,56]]"
real_only,simple_cnn,25,7,20,file_id_4,4,75,301,0.48172757475083056,0.45763690609861735,0.5714285714285714,0.3424657534246575,0.45901639344262296,"[[78,16,21],[41,25,5],[39,34,42]]"
real_only,simple_cnn,25,8,20,file_id_4,4,75,301,0.4186046511627907,0.35693227584334136,0.05042016806722689,0.4634146341463415,0.5569620253164557,"[[3,69,43],[1,57,13],[0,49,66]]"
real_only,simple_cnn,25,9,20,file_id_4,4,75,301,0.33554817275747506,0.3148840515490565,0.20915032679738563,0.41911764705882354,0.3163841807909605,"[[16,74,25],[5,57,9],[17,70,28]]"
real_only,simple_cnn,50,0,20,file_id_4,4,150,301,0.521594684385382,0.49211730092253364,0.6468401486988847,0.3037974683544304,0.5257142857142857,"[[87,18,10],[43,24,4],[24,45,46]]"
real_only,simple_cnn,50,1,20,file_id_4,4,150,301,0.717607973421927,0.7139686877454707,0.711864406779661,0.6753246753246753,0.7547169811320755,"[[84,17,14],[16,52,3],[21,14,80]]"
real_only,simple_cnn,50,2,20,file_id_4,4,150,301,0.4983388704318937,0.4957763990915896,0.6153846153846154,0.4765957446808511,0.3953488372093023,"[[60,35,20],[12,56,3],[8,73,34]]"
real_only,simple_cnn,50,3,20,file_id_4,4,150,301,0.5548172757475083,0.5551254984752522,0.5024630541871922,0.5812807881773399,0.5816326530612245,"[[51,46,18],[6,59,6],[31,27,57]]"
real_only,simple_cnn,50,4,20,file_id_4,4,150,301,0.47840531561461797,0.4608286158562567,0.2898550724637681,0.4740740740740741,0.6185567010309279,"[[20,81,14],[2,64,5],[1,54,60]]"
real_only,simple_cnn,50,5,20,file_id_4,4,150,301,0.6146179401993356,0.613716584608034,0.6391752577319587,0.5775401069518716,0.6244343891402715,"[[62,23,30],[10,54,7],[7,39,69]]"
real_only,simple_cnn,50,6,20,file_id_4,4,150,301,0.7009966777408638,0.6919048492310917,0.6341463414634146,0.6578947368421053,0.7836734693877551,"[[65,25,25],[12,50,9],[13,6,96]]"
real_only,simple_cnn,50,7,20,file_id_4,4,150,301,0.6877076411960132,0.6550860293982116,0.6694560669456067,0.4411764705882353,0.8546255506607929,"[[80,23,12],[38,30,3],[6,12,97]]"
real_only,simple_cnn,50,8,20,file_id_4,4,150,301,0.6013289036544851,0.5889375355124983,0.6071428571428571,0.4900662251655629,0.6696035242290749,"[[68,20,27],[25,37,9],[16,23,76]]"
real_only,simple_cnn,50,9,20,file_id_4,4,150,301,0.5880398671096345,0.5878044626128428,0.5789473684210527,0.5339805825242718,0.6504854368932039,"[[55,42,18],[10,55,6],[10,38,67]]"
