baseline,model,n_real,seed,fold,heldout_file_id,n_train,n_val,acc,macro_f1,f1_normal_machining,f1_lead_screw_anomaly,f1_base_imbalance,confusion
signal_feature_only,extra_trees,25,2,file_id_5,5,75,313,0.9265175718849841,0.9136655030406056,0.936,0.8345323741007195,0.9704641350210971,"[[117,6,0],[10,58,3],[0,4,115]]"
signal_feature_only,extra_trees,25,3,file_id_5,5,75,313,0.8753993610223643,0.8533461306515591,0.8571428571428571,0.7194244604316546,0.9834710743801653,"[[105,18,0],[17,50,4],[0,0,119]]"
signal_feature_only,extra_trees,25,4,file_id_5,5,75,313,0.8690095846645367,0.8541946809927027,0.8448275862068966,0.7388535031847133,0.9789029535864979,"[[98,25,0],[11,58,2],[0,3,116]]"
signal_feature_only,extra_trees,25,5,file_id_5,5,75,313,0.9201277955271565,0.9039584101756053,0.9291338582677166,0.8120300751879699,0.9707112970711297,"[[118,5,0],[13,54,4],[0,3,116]]"
signal_feature_only,extra_trees,25,6,file_id_5,5,75,313,0.8945686900958466,0.875062085029605,0.8825910931174089,0.7591240875912408,0.9834710743801653,"[[109,14,0],[15,52,4],[0,0,119]]"
signal_feature_only,extra_trees,25,7,file_id_5,5,75,313,0.792332268370607,0.7281298172704253,0.7720588235294118,0.4247787610619469,0.9875518672199171,"[[105,18,0],[44,24,3],[0,0,119]]"
signal_feature_only,extra_trees,25,8,file_id_5,5,75,313,0.8849840255591054,0.8674574471138667,0.8734693877551021,0.75,0.9789029535864979,"[[107,16,0],[15,54,2],[0,3,116]]"
signal_feature_only,extra_trees,25,9,file_id_5,5,75,313,0.8817891373801917,0.8663065527996764,0.8607594936708861,0.7549668874172185,0.9831932773109243,"[[102,21,0],[12,57,2],[0,2,117]]"
signal_feature_only,extra_trees,50,0,file_id_5,5,150,313,0.9041533546325878,0.8895826416154597,0.8907563025210085,0.7945205479452054,0.9834710743801653,"[[106,17,0],[9,58,4],[0,0,119]]"
signal_feature_only,extra_trees,50,1,file_id_5,5,150,313,0.9297124600638977,0.9190519635908253,0.9243697478991597,0.8493150684931506,0.9834710743801653,"[[110,13,0],[5,62,4],[0,0,119]]"
signal_feature_only,extra_trees,50,2,file_id_5,5,150,313,0.9073482428115016,0.8929561879733048,0.895397489539749,0.8,0.9834710743801653,"[[107,16,0],[9,58,4],[0,0,119]]"
signal_feature_only,extra_trees,50,3,file_id_5,5,150,313,0.8881789137380192,0.8704006513184096,0.8852459016393442,0.7552447552447552,0.9707112970711297,"[[108,15,0],[13,54,4],[0,3,116]]"
signal_feature_only,extra_trees,50,4,file_id_5,5,150,313,0.9456869009584664,0.9364685853689364,0.9465020576131687,0.8794326241134752,0.9834710743801653,"[[115,8,0],[5,62,4],[0,0,119]]"
signal_feature_only,extra_trees,50,5,file_id_5,5,150,313,0.8977635782747604,0.8852620358355198,0.8733624454148472,0.7948717948717948,0.9875518672199171,"[[100,23,0],[6,62,3],[0,0,119]]"
signal_feature_only,extra_trees,50,6,file_id_5,5,150,313,0.9009584664536742,0.8897041928139718,0.8917748917748918,0.802547770700637,0.9747899159663865,"[[103,20,0],[5,63,3],[0,3,116]]"
signal_feature_only,extra_trees,50,7,file_id_5,5,150,313,0.9009584664536742,0.8855690865449395,0.8870292887029289,0.7862068965517242,0.9834710743801653,"[[106,17,0],[10,57,4],[0,0,119]]"
signal_feature_only,extra_trees,50,8,file_id_5,5,150,313,0.8849840255591054,0.8695798319327731,0.8739495798319328,0.76,0.9747899159663865,"[[104,19,0],[11,57,3],[0,3,116]]"
signal_feature_only,extra_trees,50,9,file_id_5,5,150,313,0.8945686900958466,0.8806662530626966,0.8898305084745762,0.7814569536423841,0.9707112970711297,"[[105,18,0],[8,59,4],[0,3,116]]"
majority,majority,full,0,file_id_10,10,1480,257,0.2607003891050584,0.13786008230452676,0.0,0.0,0.41358024691358025,"[[0,0,71],[0,0,119],[0,0,67]]"
window_position_only,extra_trees,full,0,file_id_10,10,1480,257,0.0,0.0,0.0,0.0,0.0,"[[0,71,0],[0,0,119],[0,67,0]]"
signal_feature_only,extra_trees,full,0,file_id_10,10,1480,257,0.490272373540856,0.5371724121909445,0.2573099415204678,0.38497652582159625,0.9692307692307692,"[[22,49,0],[78,41,0],[0,4,63]]"
signal_feature_only,extra_trees,10,0,file_id_10,10,30,257,0.490272373540856,0.5217797367396323,0.22929936305732485,0.44541484716157204,0.890625,"[[18,49,4],[68,51,0],[0,10,57]]"
signal_feature_only,extra_trees,10,1,file_id_10,10,30,257,0.36186770428015563,0.42184397779806676,0.2647058823529412,0.13903743315508021,0.8617886178861789,"[[27,41,3],[106,13,0],[0,14,53]]"
signal_feature_only,extra_trees,10,2,file_id_10,10,30,257,0.5953307392996109,0.5781226031378103,0.31932773109243695,0.6353790613718412,0.7796610169491526,"[[19,49,3],[29,88,2],[0,21,46]]"
signal_feature_only,extra_trees,10,3,file_id_10,10,30,257,0.556420233463035,0.5368081662489557,0.13333333333333333,0.5864661654135338,0.890625,"[[8,59,4],[41,78,0],[0,10,57]]"
signal_feature_only,extra_trees,10,4,file_id_10,10,30,257,0.3735408560311284,0.33086275706744966,0.049586776859504134,0.47491638795986624,0.46808510638297873,"[[3,64,4],[47,71,1],[0,45,22]]"
signal_feature_only,extra_trees,10,5,file_id_10,10,30,257,0.3229571984435798,0.35579337426027324,0.15853658536585366,0.3183673469387755,0.5904761904761905,"[[13,51,7],[80,39,0],[0,36,31]]"
signal_feature_only,extra_trees,10,6,file_id_10,10,30,257,0.5914396887159533,0.5755287459400836,0.2644628099173554,0.6159695817490495,0.8461538461538461,"[[16,51,4],[34,81,4],[0,12,55]]"
signal_feature_only,extra_trees,10,7,file_id_10,10,30,257,0.622568093385214,0.6159791703651104,0.304,0.627906976744186,0.916030534351145,"[[19,51,1],[35,81,3],[0,7,60]]"
signal_feature_only,extra_trees,10,8,file_id_10,10,30,257,0.39299610894941633,0.42514701444452596,0.35555555555555557,0.3514644351464435,0.5684210526315789,"[[32,38,1],[77,42,0],[0,40,27]]"
signal_feature_only,extra_trees,10,9,file_id_10,10,30,257,0.688715953307393,0.5751748251748251,0.05128205128205128,0.75,0.9242424242424242,"[[2,65,4],[5,114,0],[0,6,61]]"
signal_feature_only,extra_trees,25,0,file_id_10,10,75,257,0.6381322957198443,0.597789637997378,0.19047619047619047,0.6737588652482269,0.9291338582677166,"[[10,60,1],[24,95,0],[0,8,59]]"
signal_feature_only,extra_trees,25,1,file_id_10,10,75,257,0.5797665369649806,0.5553073638279609,0.15789473684210525,0.6137184115523465,0.8943089430894309,"[[9,61,1],[34,85,0],[0,12,55]]"
signal_feature_only,extra_trees,25,2,file_id_10,10,75,257,0.5175097276264592,0.5423176061596116,0.27631578947368424,0.4957983193277311,0.8548387096774194,"[[21,46,4],[60,59,0],[0,14,53]]"
signal_feature_only,extra_trees,25,3,file_id_10,10,75,257,0.4357976653696498,0.44831251841260583,0.08571428571428572,0.44621513944223107,0.8130081300813008,"[[6,59,6],[63,56,0],[0,17,50]]"
signal_feature_only,extra_trees,25,4,file_id_10,10,75,257,0.41245136186770426,0.45817202219641245,0.14634146341463414,0.3392857142857143,0.8888888888888888,"[[12,56,3],[81,38,0],[0,11,56]]"
signal_feature_only,extra_trees,25,5,file_id_10,10,75,257,0.5836575875486382,0.5572910400416374,0.21238938053097345,0.6289752650176679,0.8305084745762712,"[[12,57,2],[30,89,0],[0,18,49]]"
signal_feature_only,extra_trees,25,6,file_id_10,10,75,257,0.311284046692607,0.3489414279035597,0.11180124223602485,0.3064516129032258,0.6285714285714286,"[[9,57,5],[81,38,0],[0,34,33]]"
signal_feature_only,extra_trees,25,7,file_id_10,10,75,257,0.5486381322957199,0.5521956421638092,0.1791044776119403,0.5461847389558233,0.9312977099236641,"[[12,56,3],[51,68,0],[0,6,61]]"
signal_feature_only,extra_trees,25,8,file_id_10,10,75,257,0.5369649805447471,0.5369025081699689,0.15267175572519084,0.5433070866141733,0.9147286821705426,"[[10,58,3],[50,69,0],[0,8,59]]"
signal_feature_only,extra_trees,25,9,file_id_10,10,75,257,0.29571984435797666,0.3031537176274018,0.10526315789473684,0.3458646616541353,0.4583333333333333,"[[8,56,7],[73,46,0],[0,45,22]]"
signal_feature_only,extra_trees,50,0,file_id_10,10,150,257,0.4669260700389105,0.4830844854070661,0.11428571428571428,0.464,0.8709677419354839,"[[8,60,3],[61,58,0],[0,13,54]]"
signal_feature_only,extra_trees,50,1,file_id_10,10,150,257,0.48249027237354086,0.4988331599226541,0.18571428571428572,0.490272373540856,0.8205128205128205,"[[13,56,2],[56,63,0],[0,19,48]]"
signal_feature_only,extra_trees,50,2,file_id_10,10,150,257,0.5136186770428015,0.5331051949365228,0.2482758620689655,0.5080645161290323,0.8429752066115702,"[[18,50,3],[56,63,0],[0,16,51]]"
signal_feature_only,extra_trees,50,3,file_id_10,10,150,257,0.48249027237354086,0.496479188094829,0.15827338129496402,0.4881889763779528,0.8429752066115702,"[[11,57,3],[57,62,0],[0,16,51]]"
signal_feature_only,extra_trees,50,4,file_id_10,10,150,257,0.5252918287937743,0.5203210540579982,0.16,0.5535055350553506,0.847457627118644,"[[10,60,1],[44,75,0],[0,17,50]]"
signal_feature_only,extra_trees,50,5,file_id_10,10,150,257,0.5525291828793775,0.566286548859163,0.2517482517482518,0.5394190871369294,0.9076923076923077,"[[18,49,4],[54,65,0],[0,8,59]]"
signal_feature_only,extra_trees,50,6,file_id_10,10,150,257,0.43190661478599224,0.45089353324246556,0.07042253521126761,0.4274193548387097,0.8548387096774194,"[[5,62,4],[66,53,0],[0,14,53]]"
signal_feature_only,extra_trees,50,7,file_id_10,10,150,257,0.42023346303501946,0.460092202900028,0.14102564102564102,0.379746835443038,0.859504132231405,"[[11,58,2],[74,45,0],[0,15,52]]"
signal_feature_only,extra_trees,50,8,file_id_10,10,150,257,0.5603112840466926,0.5521447685276494,0.14634146341463414,0.5735849056603773,0.9365079365079365,"[[9,62,0],[43,76,0],[0,8,59]]"
signal_feature_only,extra_trees,50,9,file_id_10,10,150,257,0.5097276264591439,0.5286136005846674,0.20408163265306123,0.48945147679324896,0.8923076923076924,"[[15,51,5],[61,58,0],[0,9,58]]"
