dataset,protocol,split,n_real,metric,comparison,n_pairs,raw_p,holm_q_registered_family,holm_pass,global_bh_q,global_bh_pass,decision_agrees
CWRU,within_plus_load0_to_1_2_3,lolo_load2,5,acc,llm>rule,40,2.0747696694865675e-06,2.0747696694865675e-06,True,2.6453313285953736e-06,True,True
CWRU,within_plus_load0_to_1_2_3,lolo_load2,5,acc,llm>noise_aug,40,1.7834324166380108e-08,5.350297249914032e-08,True,4.533333333333333e-08,True,True
CWRU,within_plus_load0_to_1_2_3,lolo_load2,5,acc,llm>real_only,40,1.7840631619466765e-08,5.350297249914032e-08,True,4.533333333333333e-08,True,True
CWRU,within_plus_load0_to_1_2_3,lolo_load2,5,macro_f1,llm>rule,40,1.5973146219039336e-06,1.5973146219039336e-06,True,2.1159232653792365e-06,True,True
CWRU,within_plus_load0_to_1_2_3,lolo_load2,5,macro_f1,llm>noise_aug,40,9.054929250851274e-09,2.716478775255382e-08,True,3.184837184782172e-08,True,True
CWRU,within_plus_load0_to_1_2_3,lolo_load2,5,macro_f1,llm>real_only,40,1.7840631619466765e-08,3.568126323893353e-08,True,4.533333333333333e-08,True,True
CWRU,within_plus_load0_to_1_2_3,lolo_load2,10,acc,llm>rule,40,2.2385660742638582e-08,3.568126323893353e-08,True,4.8649440344600984e-08,True,True
CWRU,within_plus_load0_to_1_2_3,lolo_load2,10,acc,llm>noise_aug,40,1.7840631619466765e-08,3.568126323893353e-08,True,4.533333333333333e-08,True,True
CWRU,within_plus_load0_to_1_2_3,lolo_load2,10,acc,llm>real_only,40,9.094947017729282e-13,2.7284841053187847e-12,True,4.882550504254667e-12,True,True
CWRU,within_plus_load0_to_1_2_3,lolo_load2,10,macro_f1,llm>rule,40,1.7500756046506634e-07,1.7500756046506634e-07,True,3.305698364340142e-07,True,True
CWRU,within_plus_load0_to_1_2_3,lolo_load2,10,macro_f1,llm>noise_aug,40,2.7284841053187847e-12,5.4569682106375694e-12,True,1.3252637082976954e-11,True,True
CWRU,within_plus_load0_to_1_2_3,lolo_load2,10,macro_f1,llm>real_only,40,9.094947017729282e-13,2.7284841053187847e-12,True,4.882550504254667e-12,True,True
CWRU,within_plus_load0_to_1_2_3,lolo_load2,25,acc,llm>rule,40,7.986872431202977e-07,1.5973744862405954e-06,True,1.3139693354559736e-06,True,True
CWRU,within_plus_load0_to_1_2_3,lolo_load2,25,acc,llm>noise_aug,40,6.859568008037673e-06,6.859568008037673e-06,True,8.32947543833146e-06,True,True
CWRU,within_plus_load0_to_1_2_3,lolo_load2,25,acc,llm>real_only,40,2.2416898982316138e-08,6.725069694694842e-08,True,4.8649440344600984e-08,True,True
CWRU,within_plus_load0_to_1_2_3,lolo_load2,25,macro_f1,llm>rule,40,6.099949168465374e-07,1.2199898336930748e-06,True,1.0369913586391134e-06,True,True
CWRU,within_plus_load0_to_1_2_3,lolo_load2,25,macro_f1,llm>noise_aug,40,1.5973146219039336e-06,1.5973146219039336e-06,True,2.1159232653792365e-06,True,True
CWRU,within_plus_load0_to_1_2_3,lolo_load2,25,macro_f1,llm>real_only,40,9.094947017729282e-13,2.7284841053187847e-12,True,4.882550504254667e-12,True,True
CWRU,within_plus_load0_to_1_2_3,lolo_load3,5,acc,llm>rule,40,3.920431611878857e-06,3.920431611878857e-06,True,4.876634444044432e-06,True,True
CWRU,within_plus_load0_to_1_2_3,lolo_load3,5,acc,llm>noise_aug,40,6.366462912410498e-12,1.9099388737231493e-11,True,2.951723713935776e-11,True,True
CWRU,within_plus_load0_to_1_2_3,lolo_load3,5,acc,llm>real_only,40,1.7840631619466765e-08,3.568126323893353e-08,True,4.533333333333333e-08,True,True
CWRU,within_plus_load0_to_1_2_3,lolo_load3,5,macro_f1,llm>rule,40,1.1160564099554904e-06,2.2321128199109808e-06,True,1.559421285143288e-06,True,True
CWRU,within_plus_load0_to_1_2_3,lolo_load3,5,macro_f1,llm>noise_aug,40,1.0808558967509957e-05,1.0808558967509957e-05,True,1.297027076101195e-05,True,True
CWRU,within_plus_load0_to_1_2_3,lolo_load3,5,macro_f1,llm>real_only,40,9.094947017729282e-13,2.7284841053187847e-12,True,4.882550504254667e-12,True,True
CWRU,within_plus_load0_to_1_2_3,lolo_load3,10,acc,llm>rule,40,3.3187780287263265e-08,3.3187780287263265e-08,True,6.637556057452653e-08,True,True
CWRU,within_plus_load0_to_1_2_3,lolo_load3,10,acc,llm>noise_aug,40,6.366462912410498e-11,1.2732925824820995e-10,True,2.7057467377744615e-10,True,True
CWRU,within_plus_load0_to_1_2_3,lolo_load3,10,acc,llm>real_only,40,9.094947017729282e-13,2.7284841053187847e-12,True,4.882550504254667e-12,True,True
CWRU,within_plus_load0_to_1_2_3,lolo_load3,10,macro_f1,llm>rule,40,2.7921487344428897e-10,5.584297468885779e-10,True,1.0953814265891337e-09,True,True
CWRU,within_plus_load0_to_1_2_3,lolo_load3,10,macro_f1,llm>noise_aug,40,2.5147528504021466e-09,2.5147528504021466e-09,True,9.16088538360782e-09,True,True
CWRU,within_plus_load0_to_1_2_3,lolo_load3,10,macro_f1,llm>real_only,40,9.094947017729282e-13,2.7284841053187847e-12,True,4.882550504254667e-12,True,True
CWRU,within_plus_load0_to_1_2_3,lolo_load3,25,acc,llm>rule,40,1.2814347514551708e-06,2.5628695029103416e-06,True,1.7663019547084785e-06,True,True
CWRU,within_plus_load0_to_1_2_3,lolo_load3,25,acc,llm>noise_aug,40,0.0008852833898345125,0.0008852833898345125,True,0.000960626657054471,True,True
CWRU,within_plus_load0_to_1_2_3,lolo_load3,25,acc,llm>real_only,40,2.9191209598981787e-08,8.757362879694536e-08,True,6.076537508359474e-08,True,True
CWRU,within_plus_load0_to_1_2_3,lolo_load3,25,macro_f1,llm>rule,40,5.143246701166122e-07,1.0286493402332244e-06,True,9.045020060671456e-07,True,True
CWRU,within_plus_load0_to_1_2_3,lolo_load3,25,macro_f1,llm>noise_aug,40,0.00039920340987009695,0.00039920340987009695,True,0.0004378359979220418,True,True
CWRU,within_plus_load0_to_1_2_3,lolo_load3,25,macro_f1,llm>real_only,40,2.7284841053187847e-12,8.185452315956354e-12,True,1.3252637082976954e-11,True,True
Berkeley,binary_formal,case_run_grouped,2,Acc,llm>noise_aug,40,0.0,0.0,True,0.0,True,True
Berkeley,binary_formal,case_run_grouped,2,Acc,llm>rule,40,0.04625562,0.04625562,True,0.047657305454545454,True,True
Berkeley,binary_formal,case_run_grouped,2,Acc,llm>random_open_loop,40,2e-08,4e-08,True,4.533333333333333e-08,True,True
Berkeley,binary_formal,case_run_grouped,2,Macro-F1,llm>noise_aug,40,0.0,0.0,True,0.0,True,True
Berkeley,binary_formal,case_run_grouped,2,Macro-F1,llm>rule,40,0.10295773,0.10295773,False,0.1050168846,False,True
Berkeley,binary_formal,case_run_grouped,2,Macro-F1,llm>random_open_loop,40,0.0,0.0,True,0.0,True,True
Berkeley,binary_formal,case_run_grouped,5,Acc,llm>noise_aug,40,8.5e-07,1.7e-06,True,1.3510386149088542e-06,True,True
Berkeley,binary_formal,case_run_grouped,5,Acc,llm>rule,40,0.0001631,0.0001631,True,0.00018281538461538462,True,True
Berkeley,binary_formal,case_run_grouped,5,Acc,llm>random_open_loop,40,2e-08,5e-08,True,4.533333333333333e-08,True,True
Berkeley,binary_formal,case_run_grouped,5,Macro-F1,llm>noise_aug,40,5.7e-07,1.14e-06,True,9.854237288135593e-07,True,True
Berkeley,binary_formal,case_run_grouped,5,Macro-F1,llm>rule,40,0.00035919,0.00035919,True,0.00039823239130434786,True,True
Berkeley,binary_formal,case_run_grouped,5,Macro-F1,llm>random_open_loop,40,0.0,0.0,True,0.0,True,True
Berkeley,binary_formal,case_run_grouped,10,Acc,llm>noise_aug,40,6.7e-07,1.35e-06,True,1.120327868852459e-06,True,True
Berkeley,binary_formal,case_run_grouped,10,Acc,llm>rule,40,0.28766457,0.28766457,False,0.2905127340594059,False,True
Berkeley,binary_formal,case_run_grouped,10,Acc,llm>random_open_loop,40,2e-08,5e-08,True,4.533333333333333e-08,True,True
Berkeley,binary_formal,case_run_grouped,10,Macro-F1,llm>noise_aug,40,1e-08,4e-08,True,3.4e-08,True,True
Berkeley,binary_formal,case_run_grouped,10,Macro-F1,llm>rule,40,0.38588633,0.38588633,False,0.38588633,False,True
Berkeley,binary_formal,case_run_grouped,10,Macro-F1,llm>random_open_loop,40,2e-08,4e-08,True,4.533333333333333e-08,True,True
