request_index,slot,target_class,round_id,attempt,model,prompt_hash,response_hash,http_status,parse_status,timestamp,accepted,rejection_reasons
26,3,normal_machining,1,26,mimo-v2.5,b78a31b8144a4cdc0133c4e58f8bbe7a17aa3fd6deaf22dce38b8acd1d3f0931,123f370fa93fd913914dbd9b241357378b86496cce486b47b4d411d0e2806b4d,200,error:JSONDecodeError,2026-07-10T07:00:49+00:00,False,api_or_json
27,3,normal_machining,2,27,mimo-v2.5,c0bd4d5d9d396245c5b480297f6746c9d6ec1331d1e5360d059593719070cd92,cd4d2f3c84aa32c152dc56248ebaf503bb6dd34b4077ace920c569a7fd93087a,200,json_ok,2026-07-10T07:00:58+00:00,True,
28,2,base_imbalance,0,28,mimo-v2.5,fe0de1624fc4f2620e8860c7245a05aa693fafd6e8bbba96a4306d08349a2a95,057c7a3408c1766fae080dea10b5de0d38d773ef210a29849e22dd207a8760dc,200,json_ok,2026-07-10T07:01:04+00:00,False,recipe_schema
29,2,base_imbalance,1,29,mimo-v2.5,9efa440656765e0f437d51841af929a2110698efb8f5fc4c872531200a500338,f61264a8d8457cb3df86e8ae79eb60d22ad09ef6acaf432613fbfa70ade6c06b,200,json_ok,2026-07-10T07:01:12+00:00,True,
30,3,lead_screw_anomaly,0,30,mimo-v2.5,ff33288ae607929a4fa4be34a48541e73b79e791602d41519b5160ac99515552,bd74ea9a0748f4aea1b6c0f03bf9b779f7b55a1acbd7bb41020dded912114a3c,200,error:JSONDecodeError,2026-07-10T07:01:19+00:00,False,api_or_json
31,3,lead_screw_anomaly,1,31,mimo-v2.5,9a66fb9a14862ec37edb5330cc27fedd41af479c21b156c176a14106cca42444,e1611a1e9750b84b33c4a7878be8eca96d5dfa8f792f468f0d0943078bf00206,200,json_ok,2026-07-10T07:01:26+00:00,True,
32,4,normal_machining,0,32,mimo-v2.5,3ce7fdbb7ad248b85194c1719f17c95ae1cea7958ab9b12a31d1259d017259fa,c691d83ae0188e976499f4c2dda022765618f514ae83fb3adc3148607eeed32a,200,json_ok,2026-07-10T07:01:36+00:00,True,
33,3,base_imbalance,0,33,mimo-v2.5,fe0de1624fc4f2620e8860c7245a05aa693fafd6e8bbba96a4306d08349a2a95,4cd503bcdbb7a220eb73303510375123b5fee3bcc2a30b532b93a73822753b37,200,error:JSONDecodeError,2026-07-10T07:01:42+00:00,False,api_or_json
34,3,base_imbalance,1,34,mimo-v2.5,5c5ad70ee2b1ad447450f18ee0789d026bc2c77384bd768cb307814b165054f1,c21b174165fbfd724bcff5e31f5d9a14cf0f969719bf54f8152f86eec75c3e6e,200,error:JSONDecodeError,2026-07-10T07:01:49+00:00,False,api_or_json
35,3,base_imbalance,2,35,mimo-v2.5,e62d8afb8714975424a43b37417151065b4e1117b62ce1db17d374ff7eb27642,7bb251d924104cfd154cbe1121dd7e51d91c2bf22e6f54585184bc81565d2049,200,json_ok,2026-07-10T07:01:57+00:00,True,
36,4,lead_screw_anomaly,0,36,mimo-v2.5,ff33288ae607929a4fa4be34a48541e73b79e791602d41519b5160ac99515552,2edcbd429fb86ee6adf06ceda8e09d016191954cd3ade0b2c9637760f6024ef1,200,error:JSONDecodeError,2026-07-10T07:02:06+00:00,False,api_or_json
37,4,lead_screw_anomaly,1,37,mimo-v2.5,9a66fb9a14862ec37edb5330cc27fedd41af479c21b156c176a14106cca42444,9bbc8f91be45f191c26e2cbde98038c277b47f70714e7a4513215ba59caa3811,200,json_ok,2026-07-10T07:02:16+00:00,False,psd_w1
38,4,lead_screw_anomaly,2,38,mimo-v2.5,2bd7b4ab7b57b0b7a7f36699a7426a8bdbdd75566b57dafeef5493d4b077bf45,64b9120b42e371b60f6a8df476f05188b78354c7dc80497d192c1c53a09aa9a3,200,error:JSONDecodeError,2026-07-10T07:02:22+00:00,False,api_or_json
39,4,lead_screw_anomaly,3,39,mimo-v2.5,3b7547e258e0e471bac02ce04fad0d6e361d177885c175b8bdef932e2533116d,12b31662e73ed3a285b02303f0b5e83e5188fa71809389eb7d7f7d87b08bdebc,200,json_ok,2026-07-10T07:02:29+00:00,False,recipe_schema
40,5,lead_screw_anomaly,0,40,mimo-v2.5,ff33288ae607929a4fa4be34a48541e73b79e791602d41519b5160ac99515552,574a65faea07bb81451c6f81e1d9ad3c392578b8236e7d2e61b57bc4f6bdd9b3,200,error:JSONDecodeError,2026-07-10T07:02:38+00:00,False,api_or_json
41,5,lead_screw_anomaly,1,41,mimo-v2.5,9a66fb9a14862ec37edb5330cc27fedd41af479c21b156c176a14106cca42444,182ff77a94a344328fa307f19a0e082a1698ae4e3828e68a5a8c7774a736bdd3,200,json_ok,2026-07-10T07:02:48+00:00,True,
42,5,normal_machining,0,42,mimo-v2.5,3ce7fdbb7ad248b85194c1719f17c95ae1cea7958ab9b12a31d1259d017259fa,4e4d27b6ba7775b06b85bc00c1aa4705de1aa9add3a7310b5fd079205579ae32,200,error:JSONDecodeError,2026-07-10T07:02:56+00:00,False,api_or_json
43,5,normal_machining,1,43,mimo-v2.5,b78a31b8144a4cdc0133c4e58f8bbe7a17aa3fd6deaf22dce38b8acd1d3f0931,3f86a50ea4c2d917738e233dea95feb006f6b08a2a7d9dda536b6fe9972e1499,200,json_ok,2026-07-10T07:03:04+00:00,True,
44,4,base_imbalance,0,44,mimo-v2.5,fe0de1624fc4f2620e8860c7245a05aa693fafd6e8bbba96a4306d08349a2a95,c0cc4ebfced265d647d466866d7ebfbf8032ca1cb9f2dabf477ba0871e937700,200,error:JSONDecodeError,2026-07-10T07:03:13+00:00,False,api_or_json
45,4,base_imbalance,1,45,mimo-v2.5,5c5ad70ee2b1ad447450f18ee0789d026bc2c77384bd768cb307814b165054f1,197b2cb3f97e15cb48fbe3fbfd4a61474d7932c431d5692a11cc58b2c9a63e56,200,error:JSONDecodeError,2026-07-10T07:03:19+00:00,False,api_or_json
46,4,base_imbalance,2,46,mimo-v2.5,e62d8afb8714975424a43b37417151065b4e1117b62ce1db17d374ff7eb27642,4d28dba9d99e994cb10e70c272c64e96be5cc91889a4fcbd8853d9faa7842796,200,json_ok,2026-07-10T07:03:25+00:00,False,recipe_schema
47,4,base_imbalance,3,47,mimo-v2.5,5a25fccff84fef2113c9dd4f1332596ed985125f2671d850830cb0205ea9d97d,fedaf7237cf6be596755c10a2c3c89e5b4ccc04376676c39da36695de00efcc6,200,error:JSONDecodeError,2026-07-10T07:03:33+00:00,False,api_or_json
